,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Bonavista,80,CA,1554994026,80,48.65,-53.11,37.99,14.0
1,Cuitlahuac,5,MX,1554990300,78,18.82,-96.72,73.4,6.93
2,Port Keats,0,AU,1554994182,75,-14.25,129.55,79.29,10.87
3,Maniitsoq,20,GL,1554994182,89,65.42,-52.9,35.1,7.96
4,Tongliao,0,CN,1554994182,39,43.61,122.27,38.07,3.38
5,Saldanha,64,PT,1554994182,48,41.42,-6.55,58.86,4.16
6,Hilo,90,US,1554994152,88,19.71,-155.08,68.0,3.36
7,Avarua,68,CK,1554993000,78,-21.21,-159.78,77.0,4.7
8,Vila Franca do Campo,75,PT,1554993000,93,37.72,-25.43,62.6,16.11
9,Okhotsk,44,RU,1554994183,95,59.36,143.24,22.14,1.59
10,Gat,0,SN,1554991200,39,14.69,-16.54,82.4,20.8
11,Tasiilaq,90,GL,1554990600,88,65.61,-37.64,37.4,32.21
12,Lavrentiya,36,RU,1554994183,93,65.58,-170.99,13.14,19.48
13,Victoria,75,BN,1554991200,88,5.28,115.24,82.4,3.04
14,Vaini,40,IN,1554991200,88,15.34,74.49,78.8,6.93
15,Rikitea,68,PF,1554994186,100,-23.12,-134.97,77.04,22.28
16,Mehamn,20,NO,1554990600,91,71.03,27.85,35.6,23.04
17,Ushuaia,20,AR,1554991200,79,-54.81,-68.31,46.4,19.46
18,Kapaa,75,US,1554993908,73,22.08,-159.32,75.2,21.92
19,Dikson,64,RU,1554994186,100,73.51,80.55,10.26,4.05
20,Bredasdorp,0,ZA,1554993902,60,-34.53,20.04,75.2,9.17
21,Baijiantan,48,CN,1554994187,42,45.63,85.18,56.97,2.59
22,Lakatoro,68,VU,1554994187,96,-16.11,167.42,80.46,6.4
23,Tiksi,68,RU,1554994187,82,71.64,128.87,15.57,3.15
24,Ellisras,48,ZA,1554994187,45,-23.67,27.74,79.38,5.17
25,Longyearbyen,75,NO,1554992400,73,78.22,15.63,21.2,5.82
26,Egtved,75,DK,1554994064,69,55.62,9.3,42.01,8.05
27,Ilulissat,75,GL,1554990600,79,69.22,-51.1,28.4,3.36
28,Bluff,0,AU,1554994188,66,-23.58,149.07,70.56,9.98
29,Mount Isa,0,AU,1554991200,35,-20.73,139.49,73.4,17.22
30,Bathurst,8,AU,1554993649,94,-33.42,149.58,50.0,3.94
31,Mataura,88,NZ,1554993607,83,-46.19,168.86,48.99,5.99
